setup,split,macro_f1,accuracy
A,0,0.4872154471544715,0.6379310344827587
B,0,0.25559593428014477,0.3620689655172414
C,0,0.37142857142857133,0.5
D,0,0.3692857142857143,0.603448275862069
E,0,0.41595238095238096,0.6206896551724138
F,0,0.3359523809523809,0.5689655172413793
G,0,0.48733609385783294,0.7068965517241379
H,0,0.47215686274509794,0.7413793103448276
A,1,0.5075814536340852,0.6206896551724138
B,1,0.27706349206349207,0.3793103448275862
C,1,0.5523507864684334,0.5689655172413793
D,1,0.542059620596206,0.603448275862069
E,1,0.542059620596206,0.603448275862069
F,1,0.5115734989648033,0.5862068965517241
G,1,0.64562569213732,0.6896551724137931
H,1,0.6318655392467324,0.7068965517241379
A,2,0.5164946680426556,0.6491228070175439
B,2,0.26260406260406255,0.38596491228070173
C,2,0.342227538543328,0.43859649122807015
D,2,0.5605860805860805,0.6666666666666666
E,2,0.5558658008658008,0.6491228070175439
F,2,0.5428571428571428,0.6491228070175439
G,2,0.6468192219679634,0.7543859649122807
H,2,0.5845401966454598,0.7719298245614035
A,3,0.49534798534798535,0.543859649122807
B,3,0.20990384615384614,0.3333333333333333
C,3,0.24527227158806103,0.3508771929824561
D,3,0.515974025974026,0.6491228070175439
E,3,0.515974025974026,0.6491228070175439
F,3,0.48485904339562885,0.631578947368421
G,3,0.6356565656565657,0.6842105263157895
H,3,0.6908510638297872,0.7368421052631579
A,4,0.5112271062271063,0.6491228070175439
B,4,0.3630463739159392,0.47368421052631576
C,4,0.47050724637681157,0.5614035087719298
D,4,0.552453686664213,0.5614035087719298
E,4,0.5937134937134937,0.5964912280701754
F,4,0.4936968436968437,0.5614035087719298
G,4,0.613021978021978,0.6491228070175439
H,4,0.649188047724633,0.6842105263157895
A,5,0.6235080782139606,0.6551724137931034
B,5,0.33097656729235675,0.43103448275862066
C,5,0.37970674486803513,0.46551724137931033
D,5,0.4221388367729831,0.5862068965517241
E,5,0.4227619047619048,0.5862068965517241
F,5,0.43291876750700276,0.603448275862069
G,5,0.563921568627451,0.6551724137931034
H,5,0.6084670231729056,0.7068965517241379
A,6,0.5132701509017298,0.5862068965517241
B,6,0.17670995670995673,0.3275862068965517
C,6,0.37050159984942593,0.43103448275862066
D,6,0.46645021645021634,0.5172413793103449
E,6,0.4658165082078126,0.5
F,6,0.373974358974359,0.46551724137931033
G,6,0.5459523809523809,0.6206896551724138
H,6,0.6921991818870643,0.6551724137931034
A,7,0.3147449449775031,0.5964912280701754
B,7,0.2566403531109413,0.40350877192982454
C,7,0.38632936507936505,0.5263157894736842
D,7,0.4896176181542035,0.6491228070175439
E,7,0.495043303579889,0.6491228070175439
F,7,0.4515673215673216,0.631578947368421
G,7,0.3992176870748299,0.6666666666666666
H,7,0.44099378881987583,0.7192982456140351
A,8,0.6423350041771094,0.7368421052631579
B,8,0.41985514485514486,0.42105263157894735
C,8,0.4299916457811195,0.40350877192982454
D,8,0.5966666666666667,0.6666666666666666
E,8,0.5966666666666667,0.6666666666666666
F,8,0.5903174603174602,0.6491228070175439
G,8,0.7006802721088434,0.7543859649122807
H,8,0.7161428571428572,0.7894736842105263
A,9,0.5204343452867202,0.5964912280701754
B,9,0.3120584729280382,0.40350877192982454
C,9,0.4030790777849601,0.43859649122807015
D,9,0.6132267732267733,0.6666666666666666
E,9,0.6260839160839161,0.6666666666666666
F,9,0.5828088578088578,0.6491228070175439
G,9,0.6611038961038961,0.6842105263157895
H,9,0.7354184704184704,0.7368421052631579
A,10,0.49777777777777776,0.6206896551724138
B,10,0.28517316017316013,0.3793103448275862
C,10,0.37480158730158725,0.4827586206896552
D,10,0.45621629832156146,0.5517241379310345
E,10,0.45621629832156146,0.5517241379310345
F,10,0.4522480443533075,0.5344827586206896
G,10,0.5661806690639642,0.6724137931034483
H,10,0.52813882532418,0.6379310344827587
A,11,0.5663821138211381,0.7068965517241379
B,11,0.3096342305037957,0.39655172413793105
C,11,0.41605877001657054,0.4827586206896552
D,11,0.45906557210905036,0.6551724137931034
E,11,0.431207808534358,0.6379310344827587
F,11,0.40411318150448583,0.6206896551724138
G,11,0.5180264279624893,0.6724137931034483
H,11,0.5725,0.7241379310344828
A,12,0.5251449275362319,0.543859649122807
B,12,0.27103030303030307,0.3508771929824561
C,12,0.32330917874396137,0.3157894736842105
D,12,0.4638111888111888,0.6140350877192983
E,12,0.5072900432900432,0.631578947368421
F,12,0.43897435897435894,0.5964912280701754
G,12,0.49868355222013755,0.5964912280701754
